,text,rating,label
7799,It was not my cup of tea,2,-1
9126,99 for ebooks that short so I think I'm done with this series until they drop to $,2,-1
15907,I got the first book free and had to purchase the rest,5,1
7021,It is a really good read,4,1
17670,This fact made this book very confusing for me,2,-1
4336,won't read from this author again,1,-1
18712,It was different in a fun way,4,1
18882,Found I did not like people central to stories or any introduced in first chapter,2,-1
15489,not up to the usual standards of celebrity bio's,1,-1
7963,A strong foundation showing real growth in the characters,5,1
15499,I picked this book because of all the great reviews,2,-1
13339,It reads like a documentary not a story,1,-1
6240,It was very poorly written and requires much grammatical editing,2,-1
3091,I guess you get what you pay for & this was free,1,-1
3177,Now that I DID like,1,-1
14125,"A light, enjoyable romp with good dialogue and hot scenes",4,1
11610,"I thought this was a novel not a short story when I bought it, needless to say, just as I was really getting into the story it abruptly ended",2,-1
13880,I still love the original books though,2,-1
13471,"I didn't like it, was very boring at some points",2,-1
15304,"This book was an okay read, short and quick",2,-1
1776,"Didn't bother to read, it was advertised as Christian but is not, not my cup of tea",1,-1
3225,The characters were real and down to earth,5,1
1987,Not old storyline novelette ends abruptly there is no part 2 I always liked kwan but was totally disappointed in this,1,-1
13194,Could not get interested in these losers,2,-1
11119,Liked the way it swapped back & forward from present to past & had a lot of truth behind this one,4,1
3581,"at one point the monkey does splash paint all over the elephant in frustration, but not a real problem, great reminder to say please and thank you",5,1
8148,Great story that kept me interested until the end of the story and was active and interesting until the end,5,1
6279,"But as I kept reading, I found that I couldn't stop reading",5,1
6233,"for now I will read it to them, even when they ask me not too",4,1
17574,Wish I could give it zero stars,1,-1
14701,Excellent read - now to follow through with my progress and the workbook,5,1
4594,But even though the majority of guys are jerk offs there is still hope and there Are really good guys,5,1
13825,this story wasnt romantic or sexy just beatings and humiliations cord the so called hero even admitted that he would never love her i felt really bad after reading this,1,-1
6013,I personally didn't care for it & it wasn't all that funny to me either,2,-1
9128,I read this book without putting it down,5,1
15160,99 for 90 something pages,1,-1
8186,I have highly Recommended to everyone,5,1
2471,"This book is a very quick read but it's a very nice little story, I've given two stars not as a negative but simply because there's not much of it",2,-1
14521,"If you enjoy romantic second chances, strong female characters, complex plots and the beauty of outdoors, this is one not to miss",5,1
18034,This was a great story and I hope there is a part 2,5,1
3209,I felt it was a waste of money,1,-1
1658,This book was very poorly written,2,-1
17714,This was an excellent story which kept you interested,4,1
484,Good thing it was a sort story as it was not very good,2,-1
3057,This was a really good with quite the surprise ending,4,1
7746,Evangeline is a great start to what appears to be a great series,5,1
5450,Very choppy and lacking in any background,2,-1
13318,The 2 stars is for how short this book was and the free price,2,-1
15914,I don't really recommend it,1,-1
15774,words can not describe how poorly written and racist this is,1,-1
7005,"Unless you significantly lack common sense or you flunked elementary school, don't waste your time with this book",1,-1
13142,It was a boring read,1,-1
1922,Interesting but should not be classified truly spiritual,2,-1
5395,"The actual ""mystery"" portion of the story was sadly lacking",1,-1
12419,The story could have been so much better if I had not been distracted by the bad grammar,2,-1
71,this is horrible you should be ashamed for writing this book,1,-1
12794,I can honestly say that Marie Hall is a blessed author,5,1
8691,I felt that the author wrote what us couponers already know and nothing really about the extremes of couponing,1,-1
14910,"The whole ""serial killer who doesn't know he is doing it"" thing is so tired - without the author bringing anything fresh to the approach, there is really no reason to read this story",2,-1
9348,I didn't find this a good read,1,-1
13862,"Have to see what happens with Darren, Melody and Raven Good Job on another page turner",5,1
18212,The story is interesting but the emotional connections often felt forced,2,-1
15948,I love all three books in this series,5,1
5073,English was obviously not her first language,1,-1
6223,I do realize it is a short story but it could have a bit more info,2,-1
9723,Great sex with a good story,5,1
7134,I'm still not to sure what I was reading,2,-1
1917,I really like how Adam shows his love for summer in this book by being there when she needs him,5,1
18979,nothing really new but good to have as an e-book so these ideas are readily available,4,1
17767,Wish it had love scenes but still good read,5,1
1998,The Mitchell Family series is a such a fun easy read but also the characters are a lot of fun with the many twists and turns,5,1
10277,It's not even worth ninety nine cents,1,-1
1874,This book is an unbelievable story of faith and renewal in a young man's life as told by his guardian angel,5,1
